ffmpeg version 2.4.2 Copyright (c) 2000-2014 the FFmpeg developers
  built on Oct 19 2014 18:31:37 with Apple LLVM version 6.0 (clang-600.0.51) (based on LLVM 3.5svn)
  configuration: --prefix=/usr/local/Cellar/ffmpeg/2.4.2 --enable-shared --enable-pthreads --enable-gpl --enable-version3 --enable-nonfree --enable-hardcoded-tables --enable-avresample --enable-vda --cc=clang --host-cflags= --host-ldflags= --enable-libx264 --enable-libfaac --enable-libmp3lame --enable-libxvid
  libavutil      54.  7.100 / 54.  7.100
  libavcodec     56.  1.100 / 56.  1.100
  libavformat    56.  4.101 / 56.  4.101
  libavdevice    56.  0.100 / 56.  0.100
  libavfilter     5.  1.100 /  5.  1.100
  libavresample   2.  1.  0 /  2.  1.  0
  libswscale      3.  0.100 /  3.  0.100
  libswresample   1.  1.100 /  1.  1.100
  libpostproc    53.  0.100 / 53.  0.100
Guessed Channel Layout for  Input Stream #0.0 : stereo
Input #0, wav, from '/Users/jcenzano/Documents/JOCcode/onlineloudnesscalc/public/uploads/32a86a09-b7a3-44e7-987c-be6cfd257480.wav':
  Duration: 00:00:20.00, bitrate: 705 kb/s
    Stream #0:0: Audio: pcm_s16le ([1][0][0][0] / 0x0001), 22050 Hz, 2 channels, s16, 705 kb/s
Output #0, null, to 'pipe:':
  Metadata:
    encoder         : Lavf56.4.101
    Stream #0:0: Audio: pcm_s16le, 48000 Hz, stereo, s16, 1536 kb/s
    Metadata:
      encoder         : Lavc56.1.100 pcm_s16le
Stream mapping:
  Stream #0:0 (pcm_s16le) -> ebur128
  ebur128 -> Stream #0:0 (pcm_s16le)
Press [q] to stop, [?] for help
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 0.0999792  M:-120.7 S:-120.7     I: -70.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 0.199979   M:-120.7 S:-120.7     I: -70.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 0.299979   M:-120.7 S:-120.7     I: -70.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 0.399979   M: -20.0 S:-120.7     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 0.499979   M: -20.0 S:-120.7     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 0.599979   M: -20.0 S:-120.7     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 0.699979   M: -20.0 S:-120.7     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 0.799979   M: -20.0 S:-120.7     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 0.899979   M: -20.0 S:-120.7     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 0.999979   M: -20.0 S:-120.7     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 1.09998    M: -20.0 S:-120.7     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 1.19998    M: -20.0 S:-120.7     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 1.29998    M: -20.0 S:-120.7     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 1.39998    M: -20.0 S:-120.7     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 1.49998    M: -20.0 S:-120.7     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 1.59998    M: -20.0 S:-120.7     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 1.69998    M: -20.0 S:-120.7     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 1.79998    M: -20.0 S:-120.7     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 1.89998    M: -20.0 S:-120.7     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 1.99998    M: -20.0 S:-120.7     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 2.09998    M: -20.0 S:-120.7     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 2.19998    M: -20.0 S:-120.7     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 2.29998    M: -20.0 S:-120.7     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 2.39998    M: -20.0 S:-120.7     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 2.49998    M: -20.0 S:-120.7     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 2.59998    M: -20.0 S:-120.7     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 2.69998    M: -20.0 S:-120.7     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 2.79998    M: -20.0 S:-120.7     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 2.89998    M: -20.0 S:-120.7     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 2.99998    M: -20.0 S: -20.0     I: -20.0 LUFS     LRA:  20.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 3.09998    M: -20.0 S: -20.0     I: -20.0 LUFS     LRA:  20.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 3.19998    M: -20.0 S: -20.0     I: -20.0 LUFS     LRA:  20.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 3.29998    M: -20.0 S: -20.0     I: -20.0 LUFS     LRA:  20.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 3.39998    M: -20.0 S: -20.0     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 3.49998    M: -20.0 S: -20.0     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 3.59998    M: -20.0 S: -20.0     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 3.69998    M: -20.0 S: -20.0     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 3.79998    M: -20.0 S: -20.0     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 3.89998    M: -20.0 S: -20.0     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 3.99998    M: -20.0 S: -20.0     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 4.09998    M: -20.0 S: -20.0     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 4.19998    M: -20.0 S: -20.0     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 4.29998    M: -20.0 S: -20.0     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 4.39998    M: -20.0 S: -20.0     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 4.49998    M: -20.0 S: -20.0     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 4.59998    M: -20.0 S: -20.0     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 4.69998    M: -20.0 S: -20.0     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 4.79998    M: -20.0 S: -20.0     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 4.89998    M: -20.0 S: -20.0     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 4.99998    M: -20.0 S: -20.0     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 5.09998    M: -20.0 S: -20.0     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 5.19998    M: -20.0 S: -20.0     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 5.29998    M: -20.0 S: -20.0     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 5.39998    M: -20.0 S: -20.0     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 5.49998    M: -20.0 S: -20.0     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 5.59998    M: -20.0 S: -20.0     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 5.69998    M: -20.0 S: -20.0     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 5.79998    M: -20.0 S: -20.0     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 5.89998    M: -20.0 S: -20.0     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 5.99998    M: -20.0 S: -20.0     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 6.09998    M: -20.0 S: -20.0     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 6.19998    M: -20.0 S: -20.0     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 6.29998    M: -20.0 S: -20.0     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 6.39998    M: -20.0 S: -20.0     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 6.49998    M: -20.0 S: -20.0     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 6.59998    M: -20.0 S: -20.0     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 6.69998    M: -20.0 S: -20.0     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 6.79998    M: -20.0 S: -20.0     I: -20.0 LUFS     LRA:   0.0 LU
[Parsed_ebur128_0 @ 0x7f9ab0502f20] t: 6.89998    M: -20.0 S: -20.0     I: -20.0 LUFS     LRA:   0.0 LU
